data,hora,tipo,origem / destino,valor,forma de pagamento
2026-07-02,08:15:00,Pix recebido,PESSOA TESTE ALFA,"+R$ 250,00",Saldo PicPay
2026-07-03,12:40:00,Pagamento,MERCADO FICTICIO AURORA,"−R$ 48,75",Saldo PicPay
2026-07-04,09:10:00,Transferencia,PESSOA TESTE BETA,"−R$ 90,00",Pix
2026-07-05,18:22:00,Pagamento,CAFE FICTICIO HORIZONTE,"−R$ 16,50",Cartao PicPay
2026-07-06,07:30:00,Pagamento,MOBILIDADE FICTICIA 001,"−R$ 27,90",Cartao PicPay
2026-07-07,10:05:00,Estorno,LOJA FICTICIA SOL,"+R$ 32,00",Saldo PicPay
2026-07-08,19:45:00,Pagamento,FARMACIA FICTICIA BOSQUE,"−R$ 63,18",Saldo PicPay
2026-07-09,06:00:00,Pagamento,ASSINATURA FICTICIA NUVEM,"−R$ 24,90",Cartao PicPay
2026-07-09,06:00:00,Pagamento,ASSINATURA FICTICIA NUVEM,"−R$ 24,90",Cartao PicPay
2026-07-10,14:35:00,Pix recebido,PESSOA TESTE GAMA,"+R$ 180,00",Saldo PicPay
2026-08-01,11:50:00,Pagamento,LIVRARIA FICTICIA ORBITA,"−R$ 72,40",Saldo PicPay
2026-08-02,20:12:00,Pagamento,RESTAURANTE FICTICIO LAGO,"−R$ 54,30",Cartao PicPay

