Extrato FICTICIO de: Ag: 0000 | Conta: 000000-0;;;;;

Data;Historico;Docto.;Credito;Debito;Saldo
01/07/2026;SALDO ANTERIOR;0;;;1.500,00
02/07/2026;PIX RECEBIDO TESTE;12345;250,00;;1.750,00
03/07/2026;COMPRA;LOJA FICTICIA SOL;84521;;80,00;1.670,00
04/07/2026;SAQUE FICTICIO;456789;;200,00;1.470,00
05/07/2026;TRANSFERENCIA TESTE;9876543;;150,00;1.320,00
06/07/2026;RENDIMENTO FICTICIO;2345678;10,00;;1.330,00
07/07/2026;COD. LANC. TESTE;0;;5,00;1.325,00
08/07/2026;AJUSTE FICTICIO INICIADO POR TEXTO;7654321;;45,00;1.280,00
09/07/2026;PAGAMENTO ID LONGO;123456789;;20,00;1.260,00
10/07/2026;CREDITO FICTICIO;3456789;800,00;;2.060,00
01/08/2026;COMPRA TESTE;1122334;;60,00;2.000,00
02/08/2026;PIX TESTE;2233445;;120,00;1.880,00

